,AV ACM - DETRAN [$SO_2$ (µg/m3)],AV BARROS REIS [$SO_2$ (µg/m3)],BOTELHO [$SO_2$ (µg/m3)],CAMPO GRANDE [$SO_2$ (µg/m3)],DIQUE DO TORORÓ [$SO_2$ (µg/m3)],GAMBOA [$SO_2$ (µg/m3)],ITAIGARA [$SO_2$ (µg/m3)],MALEMBÁ [$SO_2$ (µg/m3)],PARALELA-CAB [$SO_2$ (µg/m3)],PIRAJÁ [$SO_2$ (µg/m3)],RIO VERMELHO [$SO_2$ (µg/m3)]
2011,,,,1.302341098588099,1.0710586593837235,,,,0.5635527167742239,0.7237462017356555,1.1756675337135827
2012,,,,0.675085349999069,1.2553777239306714,,,,1.1365093691871229,0.8858331227971928,0.5866267622559521
2013,0.9148786154303546,4.5224780177253665,,0.46600716788226376,1.0171617706885707,,0.4607801150722436,,0.7045767587876612,1.7565054964951545,2.7748942732882527
2014,1.2518270354599925,1.706722708353911,,0.5249345463891613,0.7787388788845175,,1.024208689645941,,1.3354490595664728,0.8960918140738127,2.954857034835959
2015,0.9702269861062469,0.8076181244013709,,1.1900586554614447,0.9170553136618791,,0.6777115590963713,,1.2975080721680987,1.4879187529689648,2.153386393088334
2016,,,2.3420952892400346,,,,,6.200453315920204,,,
2017,,,0.7960398095089521,,,,,3.2410041242169614,,,
2018,,,8.926930935119405,,,4.09524511539574,,3.16123207673323,,,
2019,,,16.171099988082442,,,9.412310822841167,,5.7621118734736125,,,
2020,,,14.466216216216209,,,7.082847896440135,,12.141132075471692,,,
