Year,Month,good
2011,1,728
2011,2,666
2011,3,736
2011,4,698
2011,5,738
2011,6,720
2011,7,732
2011,8,730
2011,9,653
2011,10,646
2011,11,714
2011,12,731
2012,1,737
2012,2,684
2012,3,732
2012,4,705
2012,5,744
2012,6,712
2012,7,744
2012,8,725
2012,9,702
2012,10,718
2012,11,720
2012,12,723
2013,1,703
2013,2,654
2013,3,738
2013,4,713
2013,5,737
2013,6,712
2013,7,732
2013,8,702
2013,9,701
2013,10,688
2013,11,647
2013,12,731
2014,1,689
2014,2,617
2014,3,689
2014,4,684
2014,5,706
2014,6,661
2014,7,670
2014,8,690
2014,9,632
2014,10,608
2014,11,242
2014,12,567
2015,1,647
2015,2,660
2015,3,703
2015,4,702
2015,5,719
2015,6,678
2015,7,726
2015,8,718
2015,9,645
2015,10,690
2015,11,666
2015,12,731
